instance,method,total_time,dec,basename,Y,n,m,S,weight_type,p_value,too_long,config_skip_time,max_solution_time,time_limit_exceeded,skipped,combine_fronts_time,create_problem_time,extract_subgraph_time,init_graph_time,label_solve_time,metric_closure_time,pareto_filter_time,set_subgraphs_time,setup_lazy-sec_time,setup_mtz_time,solve_epsilon_constraint_time,combine_fronts_count,create_problem_count,extract_subgraph_count,init_graph_count,label_solve_count,metric_closure_count,pareto_filter_count,set_subgraphs_count,setup_lazy-sec_count,setup_mtz_count,solve_epsilon_constraint_count
n-10_S-6_type-float-33_weights-random_seed-0,MIP-MTZ,0.21383849999998006,False,MIP-MTZ,26,10,11,6,random,float-33,False,100,102,False,False,0.0,3.832999993846897e-06,0.0,3.862500000195723e-05,0.0,0.0001553329999808284,0.0,0.0,0.0,0.011397334000008641,0.20221966700000849,0,1,0,1,0,1,0,0,0,1,1
n-10_S-6_type-float-33_weights-random_seed-0,MIP-MTZ-dec,0.10585466699998847,True,MIP-MTZ,26,10,11,6,random,float-33,False,100,102,False,False,0.00014049999998633211,8.540000010270887e-06,6.0040999983357324e-05,4.379099999596292e-05,0.0,0.00034166599999707614,0.0,6.308400000420988e-05,0.0,0.048397875000063095,0.0564221239999938,1,6,6,6,0,6,0,1,0,6,6
n-10_S-6_type-float-33_weights-random_seed-0,MIP-Lazy,0.15516499999998246,False,MIP-Lazy,26,10,11,6,random,float-33,False,100,102,False,False,0.0,1.542000006793387e-06,0.0,4.245799999580413e-05,0.0,0.0001535419999925125,0.0,0.0,0.009579208000019435,0.0,0.1453664169999911,0,1,0,1,0,1,0,0,1,0,1
n-10_S-6_type-float-33_weights-random_seed-0,MIP-Lazy-dec,0.10675187499998628,True,MIP-Lazy,26,10,11,6,random,float-33,False,100,102,False,False,0.00014400000000591717,1.3418000008869058e-05,5.9957000047461406e-05,4.279099999848768e-05,0.0,0.0002685400000075333,0.0,5.745800001477619e-05,0.0480378739999594,0.0,0.05778879299998607,1,6,6,6,0,6,0,1,6,0,6
n-10_S-6_type-float-33_weights-random_seed-0,Label,0.009269791999997778,False,Label,26,10,11,6,random,float-33,False,100,102,False,False,0.0,0.0,0.0,2.4375000009513315e-05,0.009219208000018853,0.0,1.4667000016288512e-05,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0
n-10_S-6_type-float-33_weights-random_seed-0,Label-dec,0.000488958999994793,True,Label,26,10,11,6,random,float-33,False,100,102,False,False,0.000146292000010817,0.0,3.0083999973840037e-05,4.12500000095406e-05,0.0001330000000052678,0.0,1.4875999994501399e-05,6.504200001700156e-05,0.0,0.0,0.0,1,0,6,6,6,0,6,1,0,0,0
n-10_S-8_type-float-33_weights-nondecreasing_seed-0,MIP-MTZ,0.3147605409999983,False,MIP-MTZ,32,10,9,8,nondecreasing,float-33,False,100,102,False,False,0.0,2.8329999963716546e-06,0.0,3.904199999738012e-05,0.0,0.00016312500000026375,0.0,0.0,0.0,0.011310665999985758,0.3032150409999872,0,1,0,1,0,1,0,0,0,1,1
n-10_S-8_type-float-33_weights-nondecreasing_seed-0,MIP-MTZ-dec,0.14364970900001595,True,MIP-MTZ,32,10,9,8,nondecreasing,float-33,False,100,102,False,False,0.0002069589999962318,1.0581000026377296e-05,8.254100001181541e-05,5.174900002202776e-05,0.0,0.0004067520000035074,0.0,6.362499999568172e-05,0.0,0.06352316599998176,0.07881149999997206,1,8,8,8,0,8,0,1,0,8,8
n-10_S-8_type-float-33_weights-nondecreasing_seed-0,MIP-Lazy,0.217314416000022,False,MIP-Lazy,32,10,9,8,nondecreasing,float-33,False,100,102,False,False,0.0,1.4579999856323411e-06,0.0,3.483300000084455e-05,0.0,0.00015637500001730587,0.0,0.0,0.010263916999974754,0.0,0.20683316700001342,0,1,0,1,0,1,0,0,1,0,1
n-10_S-8_type-float-33_weights-nondecreasing_seed-0,MIP-Lazy-dec,0.12211179199999833,True,MIP-Lazy,32,10,9,8,nondecreasing,float-33,False,100,102,False,False,0.00020841600002086125,1.487499997665509e-05,8.52499999552947e-05,5.112399998097317e-05,0.0,0.0003297510000379589,0.0,5.712500001209264e-05,0.060273874999950294,0.0,0.06066054100000429,1,8,8,8,0,8,0,1,8,0,8
